INSTNM,STABBR,REGION,C200_4,RET_FT4_POOLED,ADM_RATE_ALL,C150_4,UGDS,PCTFLOAN,TRANS_4_POOLED,CCUGPROF,CONTROL,CCSIZSET,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,MD_EARN_WNE_P10,PCT25_EARN_WNE_P10,PCT75_EARN_WNE_P10,SD_EARN_WNE_P10,AVGFACSAL,INC_PCT_LO,DEP_STAT_PCT_IND,PAR_ED_PCT_1STGEN
Alabama A & M University,AL,5,0.3503,0.5828,0.90267131242741,0.2396,4824,0.7697,0.387,10,1,14,NULL,NULL,NULL,NULL,NULL,31000,17800,46000,25400,6983,0.6020087884,0.0988700565,0.3658280922
University of Alabama at Birmingham,AL,5,0.5767,0.8312,0.9180675049636,0.5292,12866,0.5207,0.2602,9,1,15,NULL,NULL,NULL,NULL,NULL,41200,26300,59900,39200,10640,0.4276131917,0.3214086082,0.341223671
Amridge University,AL,5,0.2857,0.25,NULL,0.1818,322,0.8741,0.5152,5,2,6,9165,10134,NULL,NULL,NULL,39600,25200,60300,38600,3866,0.7736486486,0.8952702703,0.5125
University of Alabama in Huntsville,AL,5,0.5297,0.8251,0.81230354737314,0.4862,6917,0.4278,0.2915,15,1,12,NULL,NULL,NULL,NULL,NULL,46700,28300,73100,33600,9391,0.374633738,0.2515696944,0.3101321586
Alabama State University,AL,5,0.2994,0.6082,0.97866121017246,0.2769,4189,0.769,0,10,1,14,NULL,NULL,NULL,NULL,NULL,27700,15600,41500,21400,7399,0.6146166134,0.107428115,0.3434343434
The University of Alabama,AL,5,0.6906,0.8669,0.53295391958876,0.6787,32387,0.3878,0.2134,14,1,16,NULL,NULL,NULL,NULL,NULL,44500,29000,66100,42500,10016,0.261546724,0.1429645542,0.2257126887
Central Alabama Community College,AL,5,NULL,NULL,NULL,NULL,1404,0.277,NULL,2,1,2,NULL,NULL,NULL,NULL,NULL,27700,16100,43500,23300,5896,0.6074766355,0.3056074766,0.5496760259
Athens State University,AL,5,NULL,NULL,NULL,NULL,2801,0.6612,NULL,5,1,9,NULL,NULL,NULL,NULL,NULL,38700,25800,51300,27500,8268,0.4928385417,0.7213541667,0.4774964838
Auburn University at Montgomery,AL,5,0.2577,0.6747,0.82538399353274,0.2765,4211,0.5769,0.4758,9,1,13,NULL,NULL,NULL,NULL,NULL,33300,20500,48500,26300,7518,0.4892262488,0.2272282076,0.38189609
Auburn University,AL,5,0.7494,0.9125,0.83930942895086,0.7658,23391,0.3198,0.1679,14,1,15,NULL,NULL,NULL,NULL,NULL,48800,32700,72700,42400,10137,0.2520373683,0.0858676208,0.1726471191
